id	site	country	latitude	longitude	coord_source	period	fauna_source	taxon	occurrence
158	Sibri	Pakistan	29	67	Kopp & Röllig 1994	Bronze Age	Meadow pers. comm.	Equus	1
163	Skhul	Israel	32	34.5	Kopp & Röllig 1994	Middle Palaeolithic	Bate 1937	Equus	1
167	Tabun	Israel	31.55	35.233	Schyle 1992	Lower Palaeolithic	Bate 1937	Equus	1
167	Tabun	Israel	31.55	35.233	Schyle 1992	Middle Palaeolithic	Bate 1937	Equus	1
170	Tamtama Cave	Iran	NA	NA	NA	Upper Palaeolithic	Coon 1951; Uerpmann 1987	Equus	1
175	Tula'i Tepe	Iran	32.333	48.167	Kopp & Röllig 1994	Early Neolithic	Wheeler 1977	Equus	1
179	Umm Dabagiyah	Iraq	35.5	42.5	Kopp & Röllig 1994	Early Neolithic	Bökönyi 1978	Equus	1
181	Wad, al-	Israel	32.67	34.97	CONTEXT	Upper Palaeolithic	Bate 1937; Uerpmann 1987	Equus	1
181	Wad, al-	Israel	32.67	34.97	CONTEXT	Epipalaeolithic	Bate 1937; Uerpmann 1987	Equus	1
182	Wadi Dhobai, site K	Jordan	36.414	31.508	Garrard & Byrd 2013	Epipalaeolithic	Bate 1938	Equus	1
190	Warwasi	Iran	34.4	47.117	Schyle 1992	MP:UP	Turnbull 1975	Equus	1
190	Warwasi	Iran	34.4	47.117	Schyle 1992	Epipalaeolithic	Turnbull 1975	Equus	1
191	Yabroud	Syria	33.967	36.65	Schyle 1992	Lower Palaeolithic	Perkins 1968; Lehmann 1970	Equus	1
191	Yabroud	Syria	33.967	36.65	Schyle 1992	Upper Palaeolithic	Perkins 1968; Lehmann 1970	Equus	1
191	Yabroud	Syria	33.967	36.65	Schyle 1992	Epipalaeolithic	Perkins 1968; Lehmann 1970	Equus	1
192	Yahya Tepe	Iran	28.583	56.35	Pleiades	Late Neolithic	Meadow pers. comm.	Equus	1
192	Yahya Tepe	Iran	28.583	56.35	Pleiades	Bronze Age	Meadow pers. comm.	Equus	1
192	Yahya Tepe	Iran	28.583	56.35	Pleiades	Iron Age	Meadow pers. comm.	Equus	1
193	Yarim Tepe	Iraq	36.333	42.167	Kopp & Röllig 1994	Late Neolithic	Bibikova 1980	Equus	1
5	Abu Simbel east bank	Egypt	22.336	31.627	Pleiades	Epipalaeolithic	Reed in Wendt 1966	Equus	1
5	Abu Simbel east bank	Egypt	22.336	31.627	Pleiades	Protoneolithic	Reed in Wendt 1966	Equus	1
5	Abu Simbel east bank	Egypt	22.336	31.627	Pleiades	Early Neolithic	Reed in Wendt 1966	Equus	1
5	Abu Simbel east bank	Egypt	22.336	31.627	Pleiades	Late Neolithic	Reed in Wendt 1966	Equus	1
21	Azraq, Ain al-Assad	Jordan	31.807	36.805	Copeland 1988	Upper Palaeolithic	Turnbull pers. comm.	Equus	1
21	Azraq, Ain al-Assad	Jordan	31.807	36.805	Copeland 1988	Early Neolithic	Turnbull pers. comm.	Equus	1
21	Azraq, Ain al-Assad	Jordan	31.807	36.805	Copeland 1988	Bronze Age	Turnbull pers. comm.	Equus	1
31	Bir Sahara	Egypt	22.933	28.75	Hill 2009	Middle Palaeolithic	Gautier 1980	Equus	1
32	Bir Tarfawi	Egypt	22.917	28.75	Wendorf et al. 1993	Middle Palaeolithic	Gautier 1980	Equus	1
41	Dakhla Oasis	Egypt	25.573	29.062	Pleiades	Late Neolithic	Churcher 1983	Equus	1
54	Elephantine	Egypt	24.09	32.889	Pleiades	Bronze Age	Boessneck 1977; Boessneck & von den Driesch 1982	Equus	1
57	Erq el-Ahmar	Israel	31.667	35.233	Schyle & Uerpmann 1996	Middle Palaeolithic	Vaufrey 1951; Davis 1980	Equus	1
57	Erq el-Ahmar	Israel	31.667	35.233	Schyle & Uerpmann 1996	Upper Palaeolithic	Vaufrey 1951; Davis 1980	Equus	1
57	Erq el-Ahmar	Israel	31.667	35.233	Schyle & Uerpmann 1996	Epipalaeolithic	Vaufrey 1951; Davis 1980	Equus	1
63	Gat, Tel	Israel	31.4	34.5	Kopp & Röllig 1994	Bronze Age	Ducos 1968	Equus	1
69	Gilf Kebir, Wadi Bakht	Egypt	23.167	26	Schyle & Uerpmann 1996	Late Neolithic	Gautier 1980, 1982	Equus	1
84	Hili 8	UAE	24.167	55.667	Kopp & Röllig 1994	Bronze Age	Uerpmann 1987	Equus	1
100	Kom Ombo	Egypt	24.452	32.928	Pleiades	Epipalaeolithic	Churcher 1972, 1974; Reed & Turnbull 1969; Turnbull pers. comm.	Equus	1
110	Maysar	Oman	22	58	Kopp & Röllig 1994	Bronze Age	Uerpmann 1987	Equus	1
116	Mureybit	Syria	36.083	38.083	CONTEXT	Protoneolithic	Ducos 1978	Equus	1
139	Ras al-Hamra	Oman	23.5	58.5	Kopp & Röllig 1994	Late Neolithic	Uerpmann 1987	Equus	1
152	Shams ed-Din Tannira	Syria	36.167	38.167	Kopp & Röllig 1994	Late Neolithic	Uerpmann 1982	Equus	1
184	Wadi Halfa Area	Sudan	21	31	Kopp & Röllig 1994	Upper Palaeolithic	Gautier 1968	Equus	1
184	Wadi Halfa Area	Sudan	21	31	Kopp & Röllig 1994	Epipalaeolithic	Gautier 1968	Equus	1
184	Wadi Halfa Area	Sudan	21	31	Kopp & Röllig 1994	Protoneolithic	Gautier 1968	Equus	1
184	Wadi Halfa Area	Sudan	21	31	Kopp & Röllig 1994	Early Neolithic	Gautier 1968	Equus	1
184	Wadi Halfa Area	Sudan	21	31	Kopp & Röllig 1994	Late Neolithic	Gautier 1968	Equus	1
186	Wadi Halfa, west bank	Sudan	21	31	Kopp & Röllig 1994	Epipalaeolithic	Turnbull pers. comm.	Equus	1
